hx,hy,hwidth,hheight,y,x,id,City of London,Barking and Dagenham,Barnet,Bexley,Brent,Bromley,Camden,Croydon,Ealing,Enfield,Greenwich,Hackney,Hammersmith and Fulham,Haringey,Harrow,Havering,Hillingdon,Hounslow,Islington,Kensington and Chelsea,Kingston upon Thames,Lambeth,Lewisham,Merton,Newham,Redbridge,Richmond upon Thames,Southwark,Sutton,Tower Hamlets,Waltham Forest,Wandsworth,Westminster,East,East Midlands,North East,North West,South East,South West,Wales,West Midlands,Yorkshire and the Humber,Northern Ireland,Scotland,Offshore,Outside UK,Residents commuting (excludes home-workers),Within Borough (includes home-workers),Within Borough (excludes home-workers),Into area (A),Out of area (B),In-Out (A-B),
5,4,1,1,51.5150436,-0.0932851,City of London,1627,6,14,0,16,0,335,3,9,6,3,66,61,16,7,9,10,9,339,62,0,42,15,6,16,0,6,103,3,266,16,16,602,33,6,0,0,49,6,3,3,9,0,6,0,50,3854,2059,1627,310082,2227,307855,
8,4,1,1,51.5554082,0.1284194,Barking and Dagenham,3641,20434,194,96,178,66,1500,104,188,410,209,980,255,301,55,6415,97,91,1385,439,18,449,132,67,4460,5940,28,926,38,4069,1047,165,3280,3102,45,9,72,625,45,15,73,33,6,21,30,91,61824,24444,20434,27804,41390,-13586,
4,6,1,1,51.6126764,-0.2173724,Barnet,7709,96,44045,34,5467,76,12080,148,1573,4098,101,1576,1431,3842,2623,131,1023,611,5775,1841,68,1129,124,146,387,305,229,1792,44,2511,555,536,16330,8563,254,24,142,2022,139,34,138,62,0,47,67,469,130397,59512,44045,47272,86352,-39080,
8,3,1,1,51.4609807,0.1475558,Bexley,6580,362,132,33681,144,4998,2470,710,188,123,9498,698,333,110,29,394,109,161,1557,603,77,1808,2989,190,574,111,90,4666,170,2825,222,618,7692,1107,76,20,89,9375,107,30,52,68,0,75,20,153,96084,41218,33681,26239,62403,-36164,
3,5,1,1,51.5640122,-0.263534,Brent,4145,40,6124,28,32105,66,8105,187,6703,426,124,809,3709,730,5102,51,2127,1404,2535,3926,116,1107,147,203,279,116,396,1565,56,1655,210,669,16418,3079,198,15,113,2335,140,42,144,38,9,40,100,296,107932,42991,32105,46838,75827,-28989,
6,2,1,1,51.3668359,0.040623,Bromley,9855,134,162,3199,201,51289,3780,6268,293,84,2586,728,859,134,59,119,248,285,2094,1241,227,3570,5360,647,419,100,191,6057,796,3385,196,1371,12802,889,105,27,109,8166,148,36,147,70,0,56,58,313,128863,63942,51289,38686,77574,-38888,
4,5,1,1,51.5428154,-0.1594256,Camden,8795,36,1496,32,1350,60,26535,147,643,295,140,1201,1870,666,330,43,473,473,4987,2267,89,1338,140,139,290,84,195,1784,54,2614,204,588,18829,1380,123,28,112,1257,127,33,134,43,9,42,81,419,81975,36395,26535,191077,55440,135637,
5,2,1,1,51.3550021,-0.0793119,Croydon,5925,85,204,300,329,5152,3248,65033,405,120,523,599,1284,177,97,82,457,581,1752,1478,827,6844,1563,3521,202,64,480,4513,6744,2000,130,4270,10583,685,106,24,142,11854,225,41,150,69,0,56,79,360,143363,78405,65033,49714,78330,-28616,
2,5,1,1,51.5250769,-0.3323542,Ealing,4855,30,967,33,5263,91,4547,182,42004,223,136,522,8579,267,2601,48,13055,9869,1795,4111,364,1031,174,361,229,79,1578,1328,65,1420,127,944,13967,1838,169,19,143,7414,179,40,207,66,17,80,91,398,131506,54260,42004,55657,89502,-33845,
5,7,1,1,51.6637479,-0.0803102,Enfield,5212,217,5642,52,1038,76,5588,136,626,44370,126,2542,850,10199,328,233,457,339,5317,1091,38,806,114,114,661,538,98,1253,47,2141,1710,314,9052,7769,110,24,120,1215,127,15,118,85,3,42,43,241,111237,54355,44370,35656,66867,-31211,
7,3,1,1,51.4675954,0.048876,Greenwich,5614,333,181,5046,252,3196,3038,692,248,192,27753,856,607,178,45,147,154,233,1780,929,58,2292,5571,237,981,126,113,5145,134,3643,244,940,8847,893,70,21,101,3493,105,12,115,56,9,19,54,212,84965,34334,27753,30349,57212,-26863,
6,5,1,1,51.5487994,-0.0605189,Hackney,5181,222,687,56,514,90,7137,128,450,877,241,18706,1165,2335,92,124,203,283,7740,1261,61,1269,240,121,1069,402,149,2023,58,5247,1101,567,9983,1017,74,32,96,694,95,28,112,52,0,24,83,142,72231,25643,18706,48551,53525,-4974,
2,4,1,1,51.4983251,-0.2163588,Hammersmith and Fulham,7967,25,259,19,812,56,4009,202,2418,82,63,586,19307,137,163,33,1090,2097,1795,7072,271,1153,122,466,123,33,854,1374,113,1947,66,1908,15305,544,87,10,56,2298,140,9,75,33,0,33,79,316,75607,26683,19307,73206,56300,16906,
5,6,1,1,51.5879249,-0.1063665,Haringey,5523,144,3016,32,1074,64,10506,213,668,4249,154,3130,1486,20233,268,99,330,450,7948,1889,67,1236,178,136,520,278,180,1857,48,2350,1004,507,13479,2145,132,16,111,1012,80,34,96,49,0,36,73,205,87305,28649,20233,34165,67072,-32907,
3,6,1,1,51.5967966,-0.3356139,Harrow,3162,55,5008,26,9473,47,3675,103,4542,325,62,430,1487,331,27684,29,6169,1141,1395,1160,107,501,71,119,99,44,246,854,34,1013,95,300,7882,6508,127,9,147,2967,118,23,121,63,6,39,65,232,88094,37328,27684,30119,60410,-30291,
8,5,1,1,51.559506,0.2360763,Havering,8348,7278,194,325,156,157,2001,131,165,546,260,1302,260,335,69,39760,116,83,1932,358,33,552,137,85,3410,4844,45,1389,50,5030,1173,158,4699,9829,95,21,89,1130,88,15,91,51,0,30,24,187,97031,47260,39760,28723,57271,-28548,
1,5,1,1,51.5425111,-0.4431521,Hillingdon,1661,31,692,18,2672,55,1757,116,8185,153,49,205,1799,110,4688,21,55245,5293,664,925,150,401,79,167,83,35,548,511,58,565,53,248,5062,3810,112,21,128,10141,175,63,193,64,3,49,54,254,107366,64869,55245,110568,52121,58447,
1,4,1,1,51.4617949,-0.3524726,Hounslow,2342,19,253,27,807,69,1753,215,5488,92,106,250,3587,87,396,28,12803,34554,752,1800,1006,692,128,303,100,31,7025,657,101,753,41,765,5927,714,133,15,99,10320,131,18,111,33,0,47,75,256,94909,43221,34554,66025,60355,5670,
5,5,1,1,51.5470246,-0.109447,Islington,7931,110,1001,46,538,46,10188,157,479,619,138,2758,1473,1869,111,55,265,334,19946,1672,50,1191,152,131,348,117,118,1883,56,2837,393,490,12835,1087,85,22,90,880,107,7,78,90,6,19,83,229,73120,26657,19946,111643,53174,58469,
3,4,1,1,51.5037872,-0.1892857,Kensington and Chelsea,10098,22,232,20,548,64,3554,165,861,48,54,445,3679,123,106,18,576,788,1816,15623,112,1029,78,208,68,30,300,1168,67,2957,68,1085,15947,440,120,19,67,1603,132,18,95,43,6,47,124,612,65283,25882,15623,75828,49660,26168,
3,2,1,1,51.3818052,-0.2847505,Kingston upon Thames,2875,9,104,35,184,72,1547,638,469,42,58,176,1327,32,68,24,1070,1484,710,847,26649,1028,70,3041,71,31,3788,1038,1190,825,20,2395,5419,352,59,6,29,9666,103,30,65,34,0,30,41,258,68009,33432,26649,32950,41360,-8410,
4,3,1,1,51.4604311,-0.114769,Lambeth,9697,64,406,136,477,826,8090,3143,667,150,595,1469,3376,373,89,49,466,898,4149,4368,527,26512,1344,1830,380,123,855,8267,803,3414,185,8028,24349,715,120,35,126,2759,169,27,118,70,0,50,145,345,120784,36385,26512,76650,94272,-17622,
