Borough,y,x,BOR,fX,fY,gX,gY,tX,tY,Lab,Lib Dem,Cons,Lab11,Lab21,Lab31,Lab10,Lab20,Lab30,Lib Dem11,Lib Dem21,Lib Dem31,Lib Dem10,Lib Dem20,Lib Dem30,Cons11,Cons21,Cons31,Cons10,Cons20,Cons30,Area,Population,id,population_ac_x,population_ac_y,population_ac_width,population_ac_height,population_ew_x,population_ew_y,population_ew_width,population_ew_height,area_ac_x,area_ac_y,area_ac_width,area_ac_height,area_ew_x,area_ew_y,area_ew_width,area_ew_height,density_ac_x,density_ac_y,density_ac_width,density_ac_height,density_ew_x,density_ew_y,density_ew_width,density_ew_height,normal_ew_x,normal_ew_y,normal_ew_width,normal_ew_height,normal_ac_x,normal_ac_y,normal_ac_width,normal_ac_height
City of London,51.5150436,-0.0932851,COL,5,4,1,5,0,32,51,0,33,17,17,17,0,0,0,0,0,0,1,1,1,0,0,0,11,11,11,2.9,7375,1,254.11392497345764,330.8082669486269,83.86696747054475,2.5748702536055816,240.53578533932892,252.5953994803462,67.27913167867678,3.209710862966631,248.86443683353983,290.1805013380857,58.501505963036635,7.87387120356658,215.30555541246542,188.6058238571959,8.001366592386717,57.569331169743236,257.7879147958344,360.02355711358587,128.5806569615603,20.908743353552097,257.7879147958344,360.0235571135859,128.5806569615603,20.908743353552097,306.81818181818187,112.94117647058823,64.39393939393938,112.94117647058823,306.81818181818187, 112.94117647058823, 64.39393939393938, 112.94117647058823
Barking and Dagenham,51.5554082,0.1284194,BAR,8,4,8,3,0,0,51,0,33,17,17,17,0,0,0,0,0,0,1,1,1,0,0,0,11,11,11,36.09,198294,2,337.98089244400245,238.93340495048483,162.01910755599755,35.836666323128384,452.3258800794476,252.59539948034626,47.67411992055247,121.78986639147706,307.36594279657646,238.43016163464472,192.63405720342354,29.758508804230473,371.85857321652065,246.17515502693902,128.14142678347935,44.73574573950174,386.36857175739476,246.51087559678444,113.63142824260524,51.11681331231375,386.36857175739476,246.51087559678444,113.63142824260524,51.11681331231421,428.4511784511784,225.88235294117646,71.54882154882154,101.64705882352939,428.4511784511784, 225.88235294117646, 71.54882154882154, 101.64705882352939
Barnet,51.6126764,-0.2173724,BRN,4,6,3,4,0,1,63,3,63,8,6,7,13,15,14,1,1,1,20,20,20,13,14,12,8,7,9,86.74,374915,3,123.86916827552471,415.7137304267177,130.24475669793287,84.2862695732822,144.77107987372406,385.3664863252634,95.76470546560483,114.6335136747366,119.40549063371577,393.5747436584683,129.45894619982414,106.42525634153168,116.59953250405363,391.0136286452284,126.41673783386875,108.98637135477173,100.63437691264937,470.9243935582937,157.1535378831851,29.075606441706327,58.332966891448734,450.59989606902633,92.49645354588657,49.400103930973614,121.21212121212123,360.00000000000006,60.60606060606064,119.99999999999994,121.21212121212123, 360.00000000000006, 60.60606060606064, 119.99999999999994
Bexley,51.4609807,0.1475558,BXL,8,3,8,2,0,2,63,0,63,4,4,3,17,17,18,0,0,0,9,9,9,18,17,17,3,4,4,60.56,239865,4,363.2719356235903,130.0267848003968,136.72806437640975,51.3680975695288,387.7970337536234,119.88418988360945,112.2029662463766,62.59603276403618,290.7373872821407,156.52195752914503,209.26261271785933,45.96757335399002,406.5545840699192,143.2349047791015,93.4454159300808,102.94025024783764,426.77187859701473,107.4141203818271,73.22812140298532,57.179804804102616,437.4438560594834,36.15973393663177,62.55614394051656,66.93458746394802,435.60606060606057,0,64.39393939393938,112.94117647058823,435.60606060606057, 0, 64.39393939393938, 112.94117647058823
Brent,51.5640122,-0.263534,BRT,3,5,2,4,0,3,63,17,63,13,14,13,8,7,8,7,6,4,14,15,17,2,1,3,19,20,18,43.24,320762,5,0,366.02301609471556,123.86916827552467,75.82352248859218,62.83869932197672,385.3664863252634,81.93238055174731,114.6335136747366,0,375.34233289947406,119.40549063371574,57.519982130260814,0,372.34245642558454,116.59953250405361,58.90419575453774,0,370.8673198316983,100.63437691264939,77.92744027301887,58.332966891448734,365.8163276656981,92.49645354588657,84.78356840332827,60.60606060606062,360,60.60606060606061,120,60.60606060606062, 360, 60.60606060606061, 120
Bromley,51.3668359,0.040623,BRM,6,2,7,1,0,4,51,2,51,1,1,1,16,16,16,1,1,0,16,16,17,15,16,15,2,1,2,150.15,321278,6,361.9102707421223,0,138.0897292578777,68.12458577406775,421.53005651137795,0,78.46994348862205,119.88418988360957,311.9568562502699,0,188.04314374973012,126.83093320561855,333.4924895473081,0,166.50751045269192,143.2349047791014,397.20092741966215,0,102.79907258033785,22.004221090836676,437.4438560594834,0,62.55614394051656,36.15973393663176,371.21212121212125,0,64.39393939393938,112.94117647058823,371.21212121212125, 0, 64.39393939393938, 112.94117647058823
Camden,51.5428154,-0.1594256,CMD,4,5,3,3,0,5,54,13,54,11,10,9,7,8,9,4,6,3,14,12,15,4,4,2,14,14,16,21.8,234846,7,146.2569812887944,238.9334049504846,107.85694368466318,63.755744713691456,139.99842375948367,316.96903030392997,100.53736157984525,68.39745602133348,198.65301160322142,238.43016163464472,50.21142523031838,68.96223044300541,145.6612053986304,246.17515502693914,97.35506493929205,35.567660293423614,73.87976646360539,246.510875596784,183.90814833222908,61.92489054631733,150.82942043733527,246.5108755967849,106.9584943584992,106.4758065673359,181.81818181818198,360.00000000000006,60.60606060606051,119.99999999999994,181.81818181818198, 360.00000000000006, 60.60606060606051, 119.99999999999994
Croydon,51.3550021,-0.0793119,CRD,5,2,4,1,0,6,66,0,66,10,10,10,12,12,12,0,0,0,10,10,10,12,12,12,10,10,10,87,376040,8,205.56991958133585,0,156.34035116078667,70.42830332952282,258.38224196470696,0,91.84518563194945,119.88418988360957,196.45188797399214,0,115.50496827627785,119.63987265011083,223.3069220048519,0,110.18556754245628,125.41569647680332,237.88864754303177,0,159.31227987663033,28.681712892154344,237.88864754303177,0,114.38991214500192,39.9453849201658,306.81818181818187,0,64.39393939393938,112.94117647058823,306.81818181818187, 0, 64.39393939393938, 112.94117647058823
Ealing,51.5250769,-0.3323542,ELG,2,5,2,3,0,7,69,5,69,14,11,15,9,12,8,3,1,1,20,22,22,11,7,6,12,16,17,55.53,342118,9,0,297.5304268623147,146.25698128879444,68.49258923240092,64.54886934342866,252.59539948034626,75.44955441605501,132.7710868449172,0,330.94162700485293,198.65301160322142,44.400705894621126,145.6612053986304,281.742815320363,97.35506493929205,90.59964110522151,0,282.7092074559237,73.87976646360538,88.15811237577435,0,246.51087559678447,54.59181153290774,119.30545206891358,60.60606060606062,240.0000000000001,60.60606060606061,119.99999999999994,60.60606060606062, 240.0000000000001, 60.60606060606061, 119.99999999999994
Enfield,51.6637479,-0.0803102,ENF,5,7,5,4,0,8,63,0,63,12,12,12,9,9,9,0,0,0,2,2,2,9,9,9,12,12,12,82.20,324574,10,254.11392497345764,408.66723250428953,104.05701784375611,91.33276749571047,301.058510538488,370.3319460842838,73.29342216547968,129.6680539157162,248.86443683353983,351.5079114672494,87.92772904374894,148.49208853275059,243.01627033792283,398.66238157858277,128.84230287859828,101.33761842141735,257.7879147958345,463.8073530565803,115.33499718333212,36.19264694341962,257.7879147958345,463.8073530565804,115.33499718333212,36.19264694341962,242.42424242424238,416.47058823529414,114.47811447811443,63.52941176470591,242.42424242424227, 352.94117647058823, 57.239057239057274, 127.05882352941177
